Title,Vote_Average,Vote_Count,Weighted_Average
10 minutes gone,5.4,215.0,5.901235265994926
joker,8.161,24816.0,8.105821596578728
lucy in the sky,4.993,200.0,5.816314034948862
dolemite is my name,7.0,1131.0,6.651078961913109
in the tall grass,5.543,2130.0,5.66720828943054
low tide,6.2,78.0,6.076461511237312
wrinkles the clown,5.83,50.0,6.045962792229875
little monsters,6.552,646.0,6.302572348332453
gemini man,6.297,4978.0,6.269132296459899
the addams family,6.621,2239.0,6.492269580751294
the king,6.9,1291.0,6.613714028763646
jexi,6.816,1159.0,6.539823515803996
polaroid,6.037,1002.0,6.04704976698894
el camino: a breaking bad movie,6.956,4738.0,6.845251703107527
maleficent: mistress of evil,7.309,5952.0,7.182839204229162
zombieland: double tap,6.936,5516.0,6.841346461429924
jojo rabbit,8.024,9262.0,7.89165135022206
the lighthouse,7.5,4653.0,7.31901055991086
wounds,4.012,766.0,4.968513377719714
black and blue,6.784,827.0,6.460895932134608
the current war,6.695,1035.0,6.446286340413789
countdown,6.258,2048.0,6.209704639589959
the kill team,6.467,374.0,6.207137174717921
the gallows act ii,5.012,84.0,5.9450944435086335
terminator: dark fate,6.454,4924.0,6.4070592081525755
motherless brooklyn,6.703,1402.0,6.495752514674474
the irishman,7.606,6610.0,7.463908408022735
harriet,7.333,756.0,6.735863401406388
arctic dogs,6.1,128.0,6.06816191780139
marriage story,7.7,6776.0,7.552617943916937
doctor sleep,7.152,4263.0,7.003966999879488
last christmas,7.241,2285.0,6.9736982099511025
playing with fire,6.651,657.0,6.35365501914507
let it snow,6.084,1131.0,6.075845202890344
midway,7.138,2400.0,6.903189970816127
klaus,8.247,3895.0,7.926321623308983
honey boy,7.116,645.0,6.579021452779855
lady and the tramp,7.12,5122.0,6.997623137155648
noelle,6.591,618.0,6.3158627409980665
ford v ferrari,8.004,7649.0,7.847600578243239
charlie's angels,6.453,2885.0,6.379324391112662
the good liar,6.672,1076.0,6.437952583279215
the report,7.042,995.0,6.647677603847153
waves,7.397,635.0,6.711638475406521
frozen ii,7.263,9505.0,7.183922182840837
a beautiful day in the neighborhood,6.98,1564.0,6.704706002867283
21 bridges,6.778,1893.0,6.590849477333401
dark waters,7.524,2066.0,7.166000442399675
knives out,7.848,11985.0,7.753447112635757
queen & slim,7.132,673.0,6.598234706184296
the two popes,7.501,2777.0,7.221314247289095
playmobil: the movie,5.606,264.0,5.933166178164357
the aeronauts,6.812,1066.0,6.522572125809626
a million little pieces,6.303,89.0,6.090329657978273
daniel isn't real,6.126,190.0,6.076201407448267
trauma center,5.5,360.0,5.865624476121854
jumanji: the next level,6.909,8400.0,6.8464380606841795
richard jewell,7.429,2429.0,7.133473446403843
black christmas,6.9,752.0,6.505199163435661
6 underground,6.345,4608.0,6.3090854888983525
bombshell,6.803,2907.0,6.664219796031733
uncut gems,7.153,4575.0,7.0136450353490005
seberg,5.938,249.0,6.028460511866713
a hidden life,7.16,656.0,6.6052437484204445
star wars: the rise of skywalker,6.332,9623.0,6.314430118566551
cats,4.1,931.0,4.92110756427577
togo,8.149,1950.0,7.615321836032636
spies in disguise,7.594,2722.0,7.2914095549544555
little women,7.9,6094.0,7.71794695600318
1917,7.994,12047.0,7.892216026610482
just mercy,7.881,2158.0,7.450067613297564
clemency,6.349,109.0,6.102226200777291
,0.0,0.0,6.062079418515686
coffee & kareem,5.5,399.0,5.852285510201599
trolls world tour,7.31,2095.0,7.007610564341956
love wedding repeat,5.6,688.0,5.827977327250007
the main event,6.553,207.0,6.177952349379145
we summon the darkness,5.381,217.0,5.895456832475208
the lost husband,6.8,125.0,6.178104667176743
corona zombies,4.051,39.0,5.951455867990846
sergio,6.6,323.0,6.237052578454692
the willoughbys,7.062,882.0,6.630333254127261
extraction,7.332,5892.0,7.202337276806691
braking for whales,4.667,6.0,6.049697056812884
bad education,6.741,646.0,6.395348944077135
dangerous lies,6.275,845.0,6.180837102577894
all day and a night,6.2,170.0,6.089991917149416
the wretched,6.065,604.0,6.06346405840307
the half of it,7.1,1459.0,6.773364589199394
arkansas,5.789,298.0,5.9780115809974275
valley girl,6.0,218.0,6.0468392009071055
capone,6.0,86.0,6.055017474081362
the wrong missy,6.147,1144.0,6.115634625361362
scoob!,7.074,1644.0,6.781006573208949
proximity,6.505,276.0,6.19130360507982
blood and money,5.29,126.0,5.939865842217976
body cam,6.3,341.0,6.142327606731463
the lovebirds,6.113,672.0,6.087577653059247
inheritance,6.33,584.0,6.186852639876801
survive the night,5.0,221.0,5.7986455784573625
the wanting mare,6.2,12.0,6.064506173615117
the high note,6.994,431.0,6.4268911992783915
shirley,6.802,53.0,6.116319793091991
the last days of american crime,6.5,807.0,6.301349499258977
becky,6.0,1.0,6.061986900753367
mighty oak,6.274,31.0,6.071451084743951
think like a dog,6.6,153.0,6.162081665134276
da 5 bloods,6.507,1041.0,6.3327762772679765
artemis fowl,5.597,1606.0,5.733908264677289
the king of staten island,7.005,967.0,6.619076487724807
sniper: assassin's end,6.209,196.0,6.095331651738464
you should have left,6.0,731.0,6.0296882301252746
wasp network,6.072,363.0,6.065565547343184
feel the beat,7.589,1093.0,7.008718213502842
7500,6.133,785.0,6.100342412649835
athlete a,5.9,9.0,6.059931090435213
eurovision song contest: the story of fire saga,6.437,1365.0,6.313561774155042
irresistible,6.074,417.0,6.066652447475169
my spy,6.863,1099.0,6.559655291354161
we bare bears: the movie,7.8,802.0,7.00896277880809
hamilton,8.197,1346.0,7.487477782939241
relic,6.074,704.0,6.068187198257285
desperados,6.0,472.0,6.0364213751361735
the old guard,7.1,4034.0,6.952166923980763
money plane,5.687,276.0,5.952648213959312
greyhound,7.407,2796.0,7.147018237277989
palm springs,7.332,2962.0,7.097736016080812
fatal affair,5.6,282.0,5.925202952106627
