Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
family of thakurganj,jimmy sheirgill mahie gill nandish singh pranati rai prakash saurabh shukla sudhir pandey supriya pilgaonkar pavan malhotra yashpal sharma mukesh tiwari raj zutshi salil acharya shivika rishi lokesh tilakdhari,drama action,5.0,1.0,jimmy sheirgill mahie gill nandish singh pranati rai prakash saurabh shukla sudhir pandey supriya pilgaonkar pavan malhotra yashpal sharma mukesh tiwari raj zutshi salil acharya shivika rishi lokesh tilakdhari drama action
batla house,john abraham nora fatehi mrunal thakur rajesh sharma ravi kishan sonam arora sahidur rahaman manish chaudhary anil rastogi kranti prakash jha amruta sant anil khopkar aditi gulati jitendra trehan,action drama thriller,6.79,51.0,john abraham nora fatehi mrunal thakur rajesh sharma ravi kishan sonam arora sahidur rahaman manish chaudhary anil rastogi kranti prakash jha amruta sant anil khopkar aditi gulati jitendra trehan action drama thriller
jhootha kahin ka,rishi kapoor jimmy sheirgill sunny singh nijjar omkar kapoor nimisha mehta rucha vaidya manoj joshi lillete dubey rajesh sharma gurbachan singh rakesh bedi neelu kohli shobha singh sunny leone,comedy drama,6.5,3.0,rishi kapoor jimmy sheirgill sunny singh nijjar omkar kapoor nimisha mehta rucha vaidya manoj joshi lillete dubey rajesh sharma gurbachan singh rakesh bedi neelu kohli shobha singh sunny leone comedy drama
judgementall hai kya,kangana ranaut rajkummar rao amyra dastur amrita puri jimmy sheirgill,comedy drama thriller,5.7,19.0,kangana ranaut rajkummar rao amyra dastur amrita puri jimmy sheirgill comedy drama thriller
chicken curry law,natalia janoszek ashutosh rana makrand deshpande nivedita bhattacharya mukesh hariawala zakir hussain aman verma,crime thriller drama,0.0,0.0,natalia janoszek ashutosh rana makrand deshpande nivedita bhattacharya mukesh hariawala zakir hussain aman verma crime thriller drama
arjun patiala,diljit dosanjh kriti sanon varun sharma ronit roy seema bhargava mohammed zeeshan ayyub amit mehra,comedy romance,4.1,6.0,diljit dosanjh kriti sanon varun sharma ronit roy seema bhargava mohammed zeeshan ayyub amit mehra comedy romance
jabariya jodi,sidharth malhotra parineeti chopra javed jaffrey sanjay mishra aparshakti khurana,drama romance,4.5,10.0,sidharth malhotra parineeti chopra javed jaffrey sanjay mishra aparshakti khurana drama romance
pranaam,rajeev khandelwal atul kulkarni abhimanyu singh sameksha vikram gokhale aniruddh dave apoorva arora s m zaheer,action crime drama,6.0,1.0,rajeev khandelwal atul kulkarni abhimanyu singh sameksha vikram gokhale aniruddh dave apoorva arora s m zaheer action crime drama
the sky is pink,zaira wasim priyanka chopra farhan akhtar rohit saraf,romance drama comedy,7.8,66.0,zaira wasim priyanka chopra farhan akhtar rohit saraf romance drama comedy
mission mangal,akshay kumar vidya balan nithya menon taapsee pannu sonakshi sinha kirti kulhari h g dattatreya sharman joshi sanjay kapoor dalip tahil vikram gokhale mohammed zeeshan ayyub purab kohli,drama history,6.698,63.0,akshay kumar vidya balan nithya menon taapsee pannu sonakshi sinha kirti kulhari h g dattatreya sharman joshi sanjay kapoor dalip tahil vikram gokhale mohammed zeeshan ayyub purab kohli drama history
saaho,jacqueline fernandez shraddha kapoor prabhas jackie shroff mandira bedi neil nitin mukesh chunky pandey arun vijay mahesh manjrekar evelyn sharma tinnu anand michael segal philip fornah vennela kishore,action adventure thriller,5.82,87.0,jacqueline fernandez shraddha kapoor prabhas jackie shroff mandira bedi neil nitin mukesh chunky pandey arun vijay mahesh manjrekar evelyn sharma tinnu anand michael segal philip fornah vennela kishore action adventure thriller
dream girl,ayushmann khurrana nushrat bharucha annu kapoor raj bhansali manjot singh,animation romance drama fantasy,8.231,508.0,ayushmann khurrana nushrat bharucha annu kapoor raj bhansali manjot singh animation romance drama fantasy
section 375,akshaye khanna richa chadha meera chopra rahul bhat shriswara kishore kadam kruttika desai sandhya mridul shrikant yadav vibhawari deshpande shama nivane rajendra shisatkar annuup choudhari shahnaaz deshpande,drama crime thriller,7.424,59.0,akshaye khanna richa chadha meera chopra rahul bhat shriswara kishore kadam kruttika desai sandhya mridul shrikant yadav vibhawari deshpande shama nivane rajendra shisatkar annuup choudhari shahnaaz deshpande drama crime thriller
the zoya factor,sonam kapoor dulquer salmaan sanjay kapoor,romance,5.5,22.0,sonam kapoor dulquer salmaan sanjay kapoor romance
pal pal dil ke paas,karan deol sahher bambba simone singh sachin khedekar,romance,4.875,4.0,karan deol sahher bambba simone singh sachin khedekar romance
prassthanam,sanjay dutt jackie shroff ali fazal manisha koirala chunky pandey satyajeet dubey amyra dastur,action drama,6.5,11.0,sanjay dutt jackie shroff ali fazal manisha koirala chunky pandey satyajeet dubey amyra dastur action drama
p se pyaar f se faraar,bhavesh kumar jimmy sheirgill kumud mishra sanjay mishra girish kulkarni zakir hussain brijendra kala akhilendra mishra asif basra neha joshi,crime drama romance,10.0,2.0,bhavesh kumar jimmy sheirgill kumud mishra sanjay mishra girish kulkarni zakir hussain brijendra kala akhilendra mishra asif basra neha joshi crime drama romance
ghost,sanaya irani shivam bhaargava vikram bhatt ameet chana ananya sengupta caroline wilde monisha hassen,fantasy drama thriller mystery romance,7.213,5394.0,sanaya irani shivam bhaargava vikram bhatt ameet chana ananya sengupta caroline wilde monisha hassen fantasy drama thriller mystery romance
bala,ayushmann khurrana bhumi pednekar yami gautam javed jaffrey saurabh shukla sunita rajwar seema bhargava abhishek banerjee deepika chikhalia manoj pahwa sachin chaudhary,thriller,10.0,1.0,ayushmann khurrana bhumi pednekar yami gautam javed jaffrey saurabh shukla sunita rajwar seema bhargava abhishek banerjee deepika chikhalia manoj pahwa sachin chaudhary thriller
yaaram,siddhanth kapoor prateik anita raj ishita raj subha rajput natasha stankovic,,5.0,1.0,siddhanth kapoor prateik anita raj ishita raj subha rajput natasha stankovic 
housefull 4,akshay kumar riteish deshmukh bobby deol kriti sanon pooja hegde kriti kharbanda rana daggubati sammy john heaney sharad kelkar aakash dabhade chunky pandey ranjeet johnny lever saurabh sachdeva,comedy drama romance,5.715,79.0,akshay kumar riteish deshmukh bobby deol kriti sanon pooja hegde kriti kharbanda rana daggubati sammy john heaney sharad kelkar aakash dabhade chunky pandey ranjeet johnny lever saurabh sachdeva comedy drama romance
saand ki aankh,taapsee pannu bhumi pednekar prakash jha viineet kumar pawan chopra,drama,7.0,23.0,taapsee pannu bhumi pednekar prakash jha viineet kumar pawan chopra drama
made in china,rajkummar rao mouni roy boman irani paresh rawal gajraj rao sumeet vyas amyra dastur,comedy drama,5.5,127.0,rajkummar rao mouni roy boman irani paresh rawal gajraj rao sumeet vyas amyra dastur comedy drama
ujda chaman,sunny singh nijjar maanvi gagroo saurabh shukla atul kumar grusha kapoor gagan arora karishma sharma,comedy drama,6.389,18.0,sunny singh nijjar maanvi gagroo saurabh shukla atul kumar grusha kapoor gagan arora karishma sharma comedy drama
bypass road,neil nitin mukesh adah sharma gul panag taher shabbir shama sikander manish chaudhary rajit kapoor,drama thriller,5.3,7.0,neil nitin mukesh adah sharma gul panag taher shabbir shama sikander manish chaudhary rajit kapoor drama thriller
satellite shankar,suraj pancholi anil reji,action drama,7.571,7.0,suraj pancholi anil reji action drama
