genre,movie_name,cast,director,TMDB_Genre,Vote_Average,Vote_Count
"Action, Comedy, Romance",Andaz Apna Apna,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor",Rajkumar Santoshi,"Comedy, Romance, Family",6.751,209.0
"Comedy, Drama",Jawaani Jaaneman,"Saif Ali Khan, Alaya F, Tabu, Kumud Mishra",Nitin Kakkar,Comedy,5.9,31.0
"Action, Crime, Drama",Batla House,"John Abraham, Mrunal Thakur, Nora Fatehi, Ravi Kishan",Nikkhil Advani,"Action, Drama, Thriller",6.79,51.0
"Action, Crime, Drama",Gabbar Is Back,"Akshay Kumar, Shruti Haasan, Kareena Kapoor, Suman",Radha Krishna Jagarlamudi,"Drama, Action",6.991,111.0
"Comedy, Drama, Romance",Partner,"Salman Khan, Govinda, Lara Dutta, Katrina Kaif",David Dhawan,"Comedy, Romance",5.52,99.0
"Action, Comedy, Crime",Awara Paagal Deewana,"Akshay Kumar, Suniel Shetty, Aftab Shivdasani, Paresh Rawal",Vikram Bhatt,"Comedy, Action",5.524,42.0
"Action, Adventure, Comedy",A Flying Jatt,"Tiger Shroff, Jacqueline Fernandez, Nathan Jones, Kay Kay Menon",Remo D'Souza,"Fantasy, Action, Adventure",3.028,36.0
"Comedy, Drama, Musical",Rangeela,"Aamir Khan, Urmila Matondkar, Jackie Shroff, Gulshan Grover",Ram Gopal Varma,,0.0,0.0
"Drama, Thriller",Jogi,"Diljit Dosanjh, Kumud Mishra, Mohd. Zeeshan Ayyub, Hiten Tejwani",Ali Abbas Zafar,,0.0,0.0
"Comedy, Drama, Romance",Tadka,"Nana Patekar, Shriya Saran, Ali Fazal, Taapsee Pannu",Prakash Raj,"Comedy, Drama, Romance",6.75,4.0
"Comedy, Drama, Fantasy",Paheli,"Shah Rukh Khan, Rani Mukerji, Anupam Kher, Naseeruddin Shah",Amol Palekar,"Romance, Drama, Fantasy",6.256,89.0
"Action, Comedy, Crime",Duplicate,"Shah Rukh Khan, Juhi Chawla, Sonali Bendre, Kajol",Mahesh Bhatt,Comedy,5.0,2.0
"Drama, Romance",Radhe Shyam,"Prabhas, Pooja Hegde, Bhagyashree Patwardhan, Krishnamraju",K.K. Radhakrishna Kumar,"Drama, Romance",5.1,24.0
"Comedy, Drama, Family",English Vinglish,"Sridevi, Adil Hussain, Mehdi Nebbou, Priya Anand",Gauri Shinde,"Comedy, Drama, Family",7.197,249.0
Thriller,Koi Jaane Na,"Kunal Kapoor, Amyra Dastur, Elli Avrram, Aamir Khan","Amin Hajee, Ajinkya Nikam","Thriller, Mystery",6.7,3.0
"Crime, Drama, Thriller",72 Hoorain,"Saru Maini, Mukesh Agrohari, Narottam Bain, Aamir Bashir",Sanjay Puran Singh Chauhan,"Documentary, Crime, Horror",4.5,3.0
"Crime, Drama, Thriller",Rustom,"Akshay Kumar, Ileana D'Cruz, Arjan Bajwa, Esha Gupta",Tinu Suresh Desai,,0.0,0.0
"Comedy, Drama, Romance",Chup Chup Ke,"Shahid Kapoor, Kareena Kapoor, Om Puri, Paresh Rawal","Priyadarshan, Kookie Gulati",Comedy,6.2,85.0
"Drama, Thriller",Hate Story,"Nikhil Dwivedi, Gulshan Devaiah, Paoli Dam, Mohan Kapur",Vivek Agnihotri,"Drama, Thriller",5.3,39.0
"Comedy, Crime",Tees Maar Khan,"Akshay Kumar, Katrina Kaif, Akshaye Khanna, Rajiv Laxman",Farah Khan,"Comedy, Crime",3.802,86.0
"Action, Comedy, Drama",Mard Ko Dard Nahin Hota,"Abhimanyu Dasani, Radhika Madan, Mahesh Manjrekar, Gulshan Devaiah",Vasan Bala,"Action, Comedy",6.6,60.0
"Comedy, Drama, Musical",Hum Dil De Chuke Sanam,"Aishwarya Rai Bachchan, Salman Khan, Ajay Devgn, Zohra Sehgal",Sanjay Leela Bhansali,"Comedy, Drama, Romance",6.344,107.0
"Action, Drama",Sadak 2,"Priyanka Bose, Alia Bhatt, Sanjay Dutt, Aditya Roy Kapoor",Mahesh Bhatt,"Romance, Drama, Action",4.667,6.0
Drama,Black,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapur",Sanjay Leela Bhansali,Drama,7.8,195.0
"Drama, Horror, Mystery",13B: Fear Has a New Address,"Madhavan, Nitu Chandra, Poonam Dhillon, Saranya Ponvannan",Vikram K. Kumar,"Mystery, Horror",6.2,64.0
"Action, Drama, Romance",Fanaa,"Aamir Khan, Kajol, Rishi Kapoor, Tabu",Kunal Kohli,"Action, Drama, Romance, Thriller",6.744,199.0
"Comedy, Drama, Musical",Yaariyan 2,"Divya Khosla Kumar, Meezaan Jafri, Pearl V Puri, Yash Dasgupta","Radhika Rao, Vinay Sapru","Romance, Drama, Family",5.8,5.0
"Action, Adventure, Crime",War 2,"Hrithik Roshan, Kiara Advani, N.T. Rama Rao Jr.",Ayan Mukerji,"Action, Adventure, Thriller",0.0,0.0
"Action, Drama, Thriller",Yuva,"Ajay Devgn, Abhishek Bachchan, Rani Mukerji, Vivek Oberoi",Mani Ratnam,"Action, Drama, Romance",0.0,0.0
"Action, Crime, Drama",Sangharsh,"Preity G Zinta, Akshay Kumar, Ashutosh Rana, Vishwajeet Pradhan",Tanuja Chandra,Thriller,4.8,20.0
"Action, Crime, Thriller",Wanted,"Salman Khan, Ayesha Takia, Prakash Raj, Vinod Khanna",Prabhu Deva,"Action, Thriller, Crime",6.5,6827.0
"Comedy, Romance",Motichoor Chaknachoor,"Nawazuddin Siddiqui, Athiya Shetty, Vibha Chhibber, Karuna Pandey",Debamitra Biswal,"Romance, Drama",6.1,19.0
"Action, Biography, Crime",Paan Singh Tomar,"Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya",Tigmanshu Dhulia,"Crime, Drama",7.312,117.0
"Comedy, Drama, Family",Sharmaji Namkeen,"Rishi Kapoor, Paresh Rawal, Juhi Chawla, Isha Talwar",Hitesh Bhatia,"Comedy, Drama",6.8,18.0
"Drama, Musical",Music School,"Shriya Saran, Sharman Joshi, Prakash Raj, Mona Ambegaonkar",Paparao Biyyala,"Music, Drama",0.0,0.0
