movieId,title,genres
1021166,Code Name: Tiranga,"Action, Thriller"
20495,Mujhse Shaadi Karogi,"Romance, Comedy"
22316,Ajnabee,"Action, Crime, Drama, Thriller"
212778,Chef,Comedy
15864,Bachna Ae Haseeno,"Drama, Comedy, Romance"
15977,Dev.D,"Comedy, Drama, Romance"
238713,Spy,"Action, Comedy, Crime"
46406,Mission Kashmir,"Action, Drama, Thriller"
499242,Pyaasa,"Drama, Romance"
859954,Jee Le Zaraa,"Comedy, Drama"
678999,Jayeshbhai Jordaar,"Comedy, Drama"
748917,Pichaikkaran 2,"Action, Drama, Science Fiction"
21557,Hazaaron Khwaishein Aisi,Drama
79698,The Lovers,"Action, Adventure, Science Fiction, Romance"
660042,The Big Bull,"Crime, Drama"
678835,Heropanti 2,"Action, Drama, Romance"
377213,Te3n,"Mystery, Thriller, Crime"
658075,Hungama 2,Comedy
20791,Boom,"Action, Drama, Thriller"
93519,Karan Arjun,"Action, Thriller"
552398,Indian 2,"Drama, Action, Thriller"
362140,Shaandaar,"Comedy, Romance"
611598,Samrat Prithviraj,"Action, Drama, History"
569594,Bharat,"Drama, Action"
603673,Laxmii,"Horror, Comedy"
743382,Serious Men,"Drama, Comedy"
1038487,Aazam,
29988,Ishq,"Comedy, Romance, Drama, Action"
955719,JGM (JanaGanaMana),"Action, Adventure"
646700,Josh,
329991,C.I.D.,"Comedy, Action"
757329,Footfairy,"Crime, Thriller"
20971,Zinda,"Action, Thriller"
1166734,Non Stop Dhamaal,Comedy
1147897,Ishq-e-nadaan,"Comedy, Drama, Romance"
376047,Fitoor,"Romance, Drama"
58128,Andaz Apna Apna,"Comedy, Romance, Family"
607297,Jawaani Jaaneman,Comedy
550485,Batla House,"Action, Drama, Thriller"
337876,Gabbar Is Back,"Drama, Action"
27298,Partner,"Comedy, Romance"
115124,Awara Paagal Deewana,"Comedy, Action"
396643,A Flying Jatt,"Fantasy, Action, Adventure"
588500,Rangeela,
1087922,Jogi,
449627,Tadka,"Comedy, Drama, Romance"
33081,Paheli,"Romance, Drama, Fantasy"
437450,Duplicate,Comedy
673392,Radhe Shyam,"Drama, Romance"
118628,English Vinglish,"Comedy, Drama, Family"
794008,Koi Jaane Na,"Thriller, Mystery"
767663,72 Hoorain,"Documentary, Crime, Horror"
525067,Rustom,
19637,Chup Chup Ke,Comedy
541495,Mard Ko Dard Nahin Hota,"Action, Comedy"
46040,Tees Maar Khan,"Comedy, Crime"
109907,Hate Story,"Drama, Thriller"
5319,Hum Dil De Chuke Sanam,"Comedy, Drama, Romance"
556270,Sadak 2,"Romance, Drama, Action"
31977,Black,Drama
19950,13B: Fear Has a New Address,"Mystery, Horror"
8453,Fanaa,"Action, Drama, Romance, Thriller"
1001241,Yaariyan 2,"Romance, Drama, Family"
1109086,War 2,"Action, Adventure, Thriller"
1094662,Yuva,"Action, Drama, Romance"
166012,Sangharsh,Thriller
8909,Wanted,"Action, Thriller, Crime"
643438,Motichoor Chaknachoor,"Romance, Drama"
96398,Paan Singh Tomar,"Crime, Drama"
870387,Sharmaji Namkeen,"Comedy, Drama"
984975,Music School,"Music, Drama"
695973,Satyameva Jayate 2,"Action, Crime, Drama, Thriller"
621003,Laal Kaptaan,"Drama, Action"
517975,Manto,"Drama, History"
21665,Khakee,Action
646173,Yeh Saali Aashiqui,"Thriller, Romance"
21175,Lakshya,"War, Action, Drama, Romance"
547654,Badhaai ho,"Comedy, Romance, Drama"
85542,Trishna,"Drama, Romance"
675592,Guilty,"Thriller, Drama"
783723,Thank God,Comedy
71308,Ghayal,"Action, Crime, Drama"
391629,Baaghi,"Action, Thriller, Romance, Adventure"
