Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
chhatriwali,"rakul preet singh, sumeet vyas, satish kaushik, dolly ahluwalia","comedy, drama",5.5,6.0,"rakul preet singh, sumeet vyas, satish kaushik, dolly ahluwalia comedy, drama"
lootcase,"kunal kemmu, rasika dugal, vijay raaz, ranvir shorey",comedy,6.298,53.0,"kunal kemmu, rasika dugal, vijay raaz, ranvir shorey comedy"
devdas,"dilip kumar, suchitra sen, vyjayanthimala, motilal","drama, romance",2.5,2.0,"dilip kumar, suchitra sen, vyjayanthimala, motilal drama, romance"
murder mubarak,"vijay varma, sara ali khan, pankaj tripathi, dimple kapadia","comedy, crime, thriller",6.7,34.0,"vijay varma, sara ali khan, pankaj tripathi, dimple kapadia comedy, crime, thriller"
rambo,"tiger shroff, janhvi kapoor","action, thriller, war",6.676,3776.0,"tiger shroff, janhvi kapoor action, thriller, war"
sarzameen,"kajol, prithviraj sukumaran, tota roy chowdhury, rajesh sharma","drama, thriller",0.0,0.0,"kajol, prithviraj sukumaran, tota roy chowdhury, rajesh sharma drama, thriller"
ruslaan,"jagapathi babu, aayush sharma, vidya malvade, richard bhakti klein",,0.0,0.0,"jagapathi babu, aayush sharma, vidya malvade, richard bhakti klein "
earth,"aamir khan, nandita das, rahul khanna, maia sethna",documentary,7.611,343.0,"aamir khan, nandita das, rahul khanna, maia sethna documentary"
mister mummy,"riteish deshmukh, genelia deshmukh, mahesh manjrekar, atul sharma","comedy, drama",5.2,9.0,"riteish deshmukh, genelia deshmukh, mahesh manjrekar, atul sharma comedy, drama"
pailwaan,"suniel shetty, sushant singh, aakanksha singh, sudeep","action, drama",6.2,9.0,"suniel shetty, sushant singh, aakanksha singh, sudeep action, drama"
rajnigandha,"monika agnihotrie, parul agrawal, zoie aggarwal ahmed, veebha anand","drama, romance",5.182,11.0,"monika agnihotrie, parul agrawal, zoie aggarwal ahmed, veebha anand drama, romance"
haré rama haré krishna,"zeenat aman, dev anand, mumtaz askari, baby guddi","drama, family",5.778,9.0,"zeenat aman, dev anand, mumtaz askari, baby guddi drama, family"
sold,"gillian anderson, david arquette, tillotama shome, priyanka bose",drama,6.7,33.0,"gillian anderson, david arquette, tillotama shome, priyanka bose drama"
bhoot,"ajay devgn, urmila matondkar, nana patekar, rekha",,0.0,0.0,"ajay devgn, urmila matondkar, nana patekar, rekha "
martin,"dhruva sarja, vaibhavi shandilya, sriram reddy polasane, nawab shah","horror, drama",6.8,255.0,"dhruva sarja, vaibhavi shandilya, sriram reddy polasane, nawab shah horror, drama"
pyar ke do pal,"mithun chakraborty, bindu desai, krishan dhawan, jagdeep","action, drama",7.333,3.0,"mithun chakraborty, bindu desai, krishan dhawan, jagdeep action, drama"
tumko na bhool paayenge,"pankaj dheer, arbaaz khan, salman khan, sushmita sen","action, drama, mystery",5.94,25.0,"pankaj dheer, arbaaz khan, salman khan, sushmita sen action, drama, mystery"
fugly,"jimmy shergill, mohit marwah, kiara advani, vijender singh",comedy,4.5,10.0,"jimmy shergill, mohit marwah, kiara advani, vijender singh comedy"
anokha bandhan,"shabana azmi, seema deo, vishal desai, aruna irani",drama,0.0,0.0,"shabana azmi, seema deo, vishal desai, aruna irani drama"
phas gaye re obama,"rajat kapoor, neha dhupia, sanjay mishra, manu rishi chadha","comedy, crime",7.179,53.0,"rajat kapoor, neha dhupia, sanjay mishra, manu rishi chadha comedy, crime"
tauba tauba,"laxmikant berde, bobby darling, amin gazi, vikaas kalantari","romance, thriller",0.0,0.0,"laxmikant berde, bobby darling, amin gazi, vikaas kalantari romance, thriller"
hera pheri,"saira banu, vinod khanna, amitabh bachchan, sulakshana pandit","comedy, crime",6.965,242.0,"saira banu, vinod khanna, amitabh bachchan, sulakshana pandit comedy, crime"
heropanti,"tiger shroff, kriti sanon, parthaa akerkar, sunil grover","romance, action",5.784,58.0,"tiger shroff, kriti sanon, parthaa akerkar, sunil grover romance, action"
pihu,"rahul bagga, pihu myra vishwakarma, prerna vishwakarma","thriller, drama",7.5,82.0,"rahul bagga, pihu myra vishwakarma, prerna vishwakarma thriller, drama"
oh my ghost,"sunny leone, yogi babu, motta rajendran, sathish","comedy, horror",4.0,1.0,"sunny leone, yogi babu, motta rajendran, sathish comedy, horror"
chamatkar,"naseeruddin shah, shah rukh khan, urmila matondkar, malvika tiwari","romance, comedy",6.388,49.0,"naseeruddin shah, shah rukh khan, urmila matondkar, malvika tiwari romance, comedy"
dasvidaniya,"vinay pathak, sarita joshi, rajat kapoor, saurabh shukla",drama,6.964,28.0,"vinay pathak, sarita joshi, rajat kapoor, saurabh shukla drama"
mp3: mera pehla pehla pyaar,"menekka arora, sarthak bhasin, sagar chawla, hazel croney","romance, drama",5.6,12.0,"menekka arora, sarthak bhasin, sagar chawla, hazel croney romance, drama"
andaaz,"akshay kumar, lara dutta, priyanka chopra jonas, rajeev verma","drama, music, romance",5.615,13.0,"akshay kumar, lara dutta, priyanka chopra jonas, rajeev verma drama, music, romance"
shanakht,"amitabh bachchan, madhuri dixit, madhavi",drama,5.5,2.0,"amitabh bachchan, madhuri dixit, madhavi drama"
daag: a poem of love,"rajesh khanna, sharmila tagore, rakhee gulzar, prem chopra","music, romance",6.0,1.0,"rajesh khanna, sharmila tagore, rakhee gulzar, prem chopra music, romance"
dostana 2,"janhvi kapoor, abhishek banerjee, lakshya, kirron kher",comedy,0.0,0.0,"janhvi kapoor, abhishek banerjee, lakshya, kirron kher comedy"
nache nagin gali gali,"meenakshi sheshadri, nitish bharadwaj, sadashiv amrapurkar, sahila chaddha",horror,4.0,1.0,"meenakshi sheshadri, nitish bharadwaj, sadashiv amrapurkar, sahila chaddha horror"
auron mein kahan dumtha,"ajay devgn, tabu, jimmy shergill, shantanu maheshwari",,,,"ajay devgn, tabu, jimmy shergill, shantanu maheshwari "
what's your raashee?,"harman baweja, priyanka chopra jonas, anjan srivastav, manju singh",comedy,5.0,24.0,"harman baweja, priyanka chopra jonas, anjan srivastav, manju singh comedy"
tutak tutak tutiya,"sonu sood, rajiv thakur, rj ajay, rj balaji","comedy, horror",5.8,25.0,"sonu sood, rajiv thakur, rj ajay, rj balaji comedy, horror"
jaal: the trap,"sunny deol, tabu, reema sen, anupam kher","action, drama",5.75,8.0,"sunny deol, tabu, reema sen, anupam kher action, drama"
sharaabi,"amitabh bachchan, ranjeet bedi, bharat bhushan, c.s. dubey","action, adventure",10.0,1.0,"amitabh bachchan, ranjeet bedi, bharat bhushan, c.s. dubey action, adventure"
badmaa$h company,"shahid kapoor, anushka sharma, meiyang chang, vir das",crime,5.802,48.0,"shahid kapoor, anushka sharma, meiyang chang, vir das crime"
hamari adhuri kahani,"emraan hashmi, vidya balan, rajkummar rao, sara khan",drama,6.282,39.0,"emraan hashmi, vidya balan, rajkummar rao, sara khan drama"
bad boy,"namashi chakraborthy, amrin qureshi, darshan jariwala, johny lever","action, crime, thriller, comedy",7.039,508.0,"namashi chakraborthy, amrin qureshi, darshan jariwala, johny lever action, crime, thriller, comedy"
doordarshan,"manu rishi chadha, mahie gill, dolly ahluwalia, shardul rana","drama, comedy",0.0,0.0,"manu rishi chadha, mahie gill, dolly ahluwalia, shardul rana drama, comedy"
haasil,"jimmy shergill, hrishitaa bhatt, irrfan khan, ashutosh rana","drama, romance",7.1,12.0,"jimmy shergill, hrishitaa bhatt, irrfan khan, ashutosh rana drama, romance"
neal 'n' nikki,"uday chopra, tanishaa mukerji, abhishek bachchan, richa pallod","comedy, romance",3.9,19.0,"uday chopra, tanishaa mukerji, abhishek bachchan, richa pallod comedy, romance"
bandhan,"jackie shroff, salman khan, rambha, ashwini bhave",drama,6.0,1.0,"jackie shroff, salman khan, rambha, ashwini bhave drama"
hijack,"shiney ahuja, mona ambegaonkar, ananya chadha, gananay chadha","thriller, action",4.7,10.0,"shiney ahuja, mona ambegaonkar, ananya chadha, gananay chadha thriller, action"
fida,"kareena kapoor, fardeen khan, shahid kapoor, kim sharma","thriller, romance",5.2,17.0,"kareena kapoor, fardeen khan, shahid kapoor, kim sharma thriller, romance"
cold case,"prithviraj sukumaran, aditi balan, lakshmi priyaa chandramouli, anil nedumangad","documentary, crime",0.0,0.0,"prithviraj sukumaran, aditi balan, lakshmi priyaa chandramouli, anil nedumangad documentary, crime"
mastizaade,"tusshar kapoor, vir das, sunny leone, govardhan asrani","romance, comedy",2.917,24.0,"tusshar kapoor, vir das, sunny leone, govardhan asrani romance, comedy"
ab tak chhappan,"nana patekar, revathi, yashpal sharma, mohan agashe","crime, drama",7.368,34.0,"nana patekar, revathi, yashpal sharma, mohan agashe crime, drama"
akele hum akele tum,"aamir khan, manisha koirala, master adil, deven verma",,6.0,2.0,"aamir khan, manisha koirala, master adil, deven verma "
jab pyaar kisise hota hai,"salman khan, twinkle khanna, johny lever, farida jalal","drama, family, comedy",5.889,18.0,"salman khan, twinkle khanna, johny lever, farida jalal drama, family, comedy"
allah-rakha,"jackie shroff, shammi kapoor, waheeda rehman, biswajeet chatterjee",,3.0,2.0,"jackie shroff, shammi kapoor, waheeda rehman, biswajeet chatterjee "
bhaagamathie full hindi dubbed movie,"jayaram, asha sharath, murli sharma, anushka shetty",,,,"jayaram, asha sharath, murli sharma, anushka shetty "
